þ|****************************|
|*******|EduExo Tests|*******|
|**|        Menu          |**|
|****************************|

Please, select one of the following options:
e) Enable
d) Disable
s) Position Sensor Calibration
m) Map Position Sensor to motor position
p) Set a position
c) Enter in the Control Loop
Motor disable!
Move the EduExo to 0 degrees. Press c to continue
Move the EduExo to 90 degrees. Press c to continue
302
Position sensor calibrated!
99
Motor enable!
Sensor and motor position mapped!
0.02, 26.40, 11.00
0.02, 27.26, 24.00
0.02, 28.32, -12.00
0.02, 29.62, -7.00
0.02, 31.03, -4.00
0.02, 32.59, 0.00
0.02, 34.20, 3.00
0.02, 35.91, 4.00
0.02, 37.71, 6.00
0.02, 39.58, 8.00
0.02, 41.51, 14.00
0.02, 43.57, 14.00
0.02, 45.65, 18.00
0.02, 47.72, 22.00
0.02, 49.76, 23.00
0.02, 51.75, 29.00
0.02, 53.67, 45.00
0.02, 55.50, 47.00
0.02, 57.21, 50.00
0.02, 58.79, 52.00
0.02, 60.22, 54.00
0.02, 61.48, 56.00
0.02, 62.57, 57.00
0.02, 63.47, 58.00
0.02, 64.16, 59.00
0.02, 64.65, 61.00
0.02, 64.93, 62.00
0.02, 65.00, 62.00
0.02, 64.84, 62.00
0.02, 64.47, 62.00
0.02, 63.90, 62.00
0.02, 63.11, 27.00
0.02, 62.14, 30.00
0.02, 60.97, 31.00
0.02, 59.64, 40.00
0.02, 58.14, 36.00
0.02, 56.51, 40.00
0.02, 54.75, 39.00
0.02, 52.88, 38.00
0.02, 50.93, 35.00
0.02, 48.92, 43.00
0.02, 46.86, 49.00
0.02, 44.78, 32.00
0.02, 42.71, 46.00
0.02, 40.66, 43.00
0.02, 38.65, 41.00
0.02, 36.72, 39.00
0.02, 34.87, 37.00
0.02, 33.14, 35.00
0.02, 31.53, 33.00
0.02, 30.07, 31.00
0.02, 28.77, 30.00
0.02, 27.64, 27.00
0.02, 26.70, 27.00
0.02, 25.97, 25.00
0.02, 25.43, 24.00
0.02, 25.11, 24.00
0.02, 25.00, -12.00
0.02, 25.12, 24.00
0.02, 25.45, 24.00
0.02, 26.00, 24.00
0.02, 26.75, 23.00
0.02, 27.70, 24.00
0.02, 28.83, 24.00
0.02, 30.14, 24.00
0.02, 31.61, 25.00
0.02, 33.23, 26.00
0.02, 34.97, 27.00
0.02, 36.82, 30.00
0.02, 38.76, 31.00
0.02, 40.76, 33.00
0.02, 42.81, 35.00
0.02, 44.89, 37.00
0.02, 46.97, 39.00
0.02, 49.02, 41.00
0.02, 51.03, 43.00
0.02, 52.98, 46.00
0.02, 54.84, 48.00
0.02, 56.60, 50.00
0.02, 58.23, 42.00
0.02, 59.71, 33.00
0.02, 61.04, 35.00
0.02, 62.19, 36.00
0.02, 63.16, 38.00
0.02, 63.93, 40.00
0.02, 64.50, 60.00
0.02, 64.86, 61.00
0.02, 65.00, 62.00
0.02, 64.92, 62.00
0.02, 64.63, 62.00
0.02, 64.13, 62.00
0.02, 63.42, 62.00
0.02, 62.52, 62.00
0.02, 61.42, 62.00
0.02, 60.15, 61.00
0.02, 58.71, 60.00
0.02, 57.12, 58.00
0.02, 55.40, 56.00
0.02, 53.58, 55.00
0.02, 51.65, 53.00
0.02, 49.66, 51.00
0.02, 47.61, 50.00
0.02, 45.54, 47.00
0.02, 43.46, 46.00
0.02, 41.40, 43.00
0.02, 39.38, 22.00
0.02, 37.42, 17.00
0.02, 35.54, 17.00
0.02, 33.76, 15.00
0.02, 32.10, 15.00
0.02, 30.58, 33.00
0.02, 29.22, 11.00
0.02, 28.03, 29.00
0.02, 27.03, 28.00
0.02, 26.21, 27.00
0.02, 25.60, 25.00
0.02, 25.20, 25.00
0.02, 25.01, 24.00
0.02, 25.04, 24.00
0.02, 25.29, 24.00
0.02, 25.75, 24.00
0.02, 26.41, 23.00
0.02, 27.28, 24.00
0.02, 28.34, 24.00
0.02, 29.58, 25.00
0.02, 30.98, 26.00
0.02, 32.54, 26.00
0.02, 34.23, 28.00
0.02, 36.04, 29.00
0.02, 37.94, 31.00
0.02, 39.92, 8.00
0.02, 41.86, 13.00
0.02, 43.92, 12.00
0.02, 46.00, 16.00
0.02, 48.07, 19.00
0.02, 50.10, 22.00
0.02, 52.08, 26.00
0.02, 53.99, 28.00
0.02, 55.79, 33.00
0.02, 57.48, 49.00
0.02, 59.04, 52.00
0.02, 60.44, 53.00
0.02, 61.68, 55.00
0.02, 62.73, 57.00
0.02, 63.60, 58.00
0.02, 64.26, 59.00
0.02, 64.72, 61.00
0.02, 64.96, 62.00
0.02, 64.98, 62.00
0.02, 64.79, 62.00
0.02, 64.39, 62.00
0.02, 63.78, 62.00
0.02, 62.96, 62.00
0.02, 61.95, 62.00
0.02, 60.76, 61.00
0.02, 59.40, 58.00
0.02, 57.88, 58.00
